email_routing_recipient_id,email_routing_rule_id,email_routing_recipient_seq,email_routing_recipient_email,email_routing_recipient_type_code,email_routing_recipient_status_flag,email_routing_recipient_created_by,email_routing_recipient_updated_by,email_routing_recipient_create_dt,email_routing_recipient_update_dt,email_routing_recipient_audit_log
25,DUMMY-2228-022,1,dummy.shared@example.com,DISTRIBUTION_LIST,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
26,DUMMY-2228-022,2,dummy.d22@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
27,DUMMY-2228-023,1,dummy.d23@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
28,DUMMY-2228-024,1,dummy.d24@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
29,DUMMY-2228-025,1,dummy.d25@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
30,DUMMY-2228-026,1,dummy.d26.active@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
31,DUMMY-2228-026,2,dummy.d26.inactive@example.com,USER,I,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
32,DUMMY-2228-027,1,dummy.d27.gone1@example.com,USER,I,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
33,DUMMY-2228-027,2,dummy.d27.gone2@example.com,DISTRIBUTION_LIST,I,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
34,DUMMY-2228-028,1,dummy.d28@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
35,DUMMY-2228-029,1,dummy.d29@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
36,DUMMY-2228-030,1,dummy.d30@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
37,DUMMY-2228-031,1,dummy.d31@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
40,DUMMY-2228-034,1,dummy.d34@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
41,DUMMY-2228-035,1,dummy.d35@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
42,DUMMY-2228-036,1,dummy.d36@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
38,DUMMY-2822-032,1,dummy.d32@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
39,DUMMY-2822-033,1,dummy.d33@example.com,USER,A,DUMMY_PS,DUMMY_PS,2026-08-21 13:31:25,2026-08-21 13:31:25,
